,city_id,temperature,humidity,date,pressure
111,Kharkiv,15.0,95,2023-11-06,994.9
112,Kharkiv,13.7,86,2023-11-07,1004.6
113,Kharkiv,11.5,97,2023-11-08,1004.8
114,Kharkiv,11.0,95,2023-11-09,1003.6
115,Kharkiv,8.4,93,2023-11-10,1009.6
116,Kharkiv,7.2,96,2023-11-11,1007.4
117,Kharkiv,13.5,95,2023-11-12,990.0
118,Kharkiv,8.3,85,2023-11-13,998.1
119,Kharkiv,8.8,93,2023-11-14,997.7
120,Kharkiv,9.3,94,2023-11-15,989.8
121,Kharkiv,8.1,96,2023-11-16,994.2
122,Kharkiv,5.6,94,2023-11-17,1002.9
123,Kharkiv,2.3,88,2023-11-18,1006.7
124,Kharkiv,0.1,94,2023-11-19,1005.3
125,Kharkiv,-0.6,91,2023-11-20,993.9
126,Kharkiv,-2.6,80,2023-11-21,1003.4
127,Kharkiv,-4.0,83,2023-11-22,1004.5
128,Dnipro,16.8,94,2023-10-22,1010.9
129,Dnipro,21.5,92,2023-10-23,1007.0
130,Dnipro,15.6,87,2023-10-24,1009.3
131,Dnipro,11.6,93,2023-10-25,1009.2
132,Dnipro,17.6,99,2023-10-26,997.9
133,Dnipro,19.5,98,2023-10-27,995.6
134,Dnipro,19.4,96,2023-10-28,1002.6
135,Dnipro,16.8,93,2023-10-29,1014.1
136,Dnipro,20.0,91,2023-10-30,1015.4
137,Dnipro,20.3,88,2023-10-31,1012.5
138,Dnipro,18.4,95,2023-11-01,1007.5
139,Dnipro,12.9,91,2023-11-02,1008.1
140,Dnipro,11.9,96,2023-11-03,1008.1
141,Dnipro,17.9,97,2023-11-04,1002.9
142,Dnipro,16.4,90,2023-11-05,997.1
143,Dnipro,16.3,94,2023-11-06,1005.8
144,Dnipro,16.0,76,2023-11-07,1013.9
145,Dnipro,13.5,95,2023-11-08,1013.7
146,Dnipro,11.1,88,2023-11-09,1014.1
147,Dnipro,11.5,96,2023-11-10,1018.5
148,Dnipro,11.9,93,2023-11-11,1014.1
149,Dnipro,14.0,93,2023-11-12,1002.0
150,Dnipro,9.9,91,2023-11-13,1008.1
151,Dnipro,10.1,93,2023-11-14,1006.9
152,Dnipro,9.8,92,2023-11-15,999.5
153,Dnipro,9.1,96,2023-11-16,1004.9
154,Dnipro,6.2,95,2023-11-17,1009.4
155,Dnipro,5.1,92,2023-11-18,1010.2
156,Dnipro,2.9,98,2023-11-19,1008.2
157,Dnipro,0.9,96,2023-11-20,1002.8
158,Dnipro,0.2,87,2023-11-21,1011.9
159,Dnipro,-1.1,88,2023-11-22,1013.6
160,Donetsk,11.2,92,2023-10-22,995.4
161,Donetsk,21.1,97,2023-10-23,990.6
162,Donetsk,15.2,89,2023-10-24,989.7
163,Donetsk,11.8,97,2023-10-25,990.7
164,Donetsk,15.7,100,2023-10-26,981.2
165,Donetsk,17.7,100,2023-10-27,980.3
166,Donetsk,19.7,98,2023-10-28,983.8
167,Donetsk,16.3,88,2023-10-29,996.4
168,Donetsk,17.9,96,2023-10-30,999.6
169,Donetsk,19.9,97,2023-10-31,996.5
170,Donetsk,18.4,96,2023-11-01,992.0
171,Donetsk,13.9,94,2023-11-02,990.1
